title,body,labels,assignees,milestone
Criar repositório GitHub e adicionar o professor,"Criar o repositório da equipe, configurar branch principal protegida, adicionar todos os membros e o professor (usuário/e-mail informado no enunciado) como colaborador.

Responsável sugerido: Integrante 1
Sprint: Sprint 1",infra,,Sprint 1
Configurar quadro do projeto (GitHub Projects),"Criar o Project com colunas Backlog/To Do/In Progress/Review/Done e os Milestones Sprint 1 a Sprint 7 com datas.

Responsável sugerido: Integrante 1
Sprint: Sprint 1",infra,,Sprint 1
Escrever guia de instalação do ambiente,"Documentar passo a passo de instalação de Flex, Bison e GCC para Linux/Mac/WSL, baseado no guia de configuração da semana 01, e publicar em `docs/`.

Responsável sugerido: Integrante 2
Sprint: Sprint 1",infra,,Sprint 1
Criar estrutura inicial de pastas e Makefile,"Criar a estrutura `src/`, `docs/`, `exemplos/` e um `Makefile` inicial capaz de compilar um ""hello world"" com Flex+Bison.

Responsável sugerido: Integrante 2
Sprint: Sprint 1",infra,,Sprint 1
"Validar ambiente individual — rodar ""Hello World"" Flex/Bison","Cada integrante compila e executa localmente o exemplo hello.l/hello.y da semana 01, e comenta na Issue confirmando sucesso (ou reportando erro).

Responsável sugerido: Integrante 1, 2, 3, 4 e 5 *(uma issue por pessoa)*
Sprint: Sprint 1",infra,,Sprint 1
Levantar construções essenciais da linguagem MiniC,"Reunião/brainstorm para decidir quais tipos, operadores e estruturas de controle farão parte do MiniC V1, revisando o escopo já definido (seção 2.1).

Responsável sugerido: Integrante 3
Sprint: Sprint 1",spec,,Sprint 1
Escrever especificação da linguagem MiniC V1,"Redigir `docs/especificacao-minic.md` descrevendo tipos, operadores, estruturas de controle, funções, entrada/saída e comentários, com exemplos de código para cada construção.

Responsável sugerido: Integrante 3
Sprint: Sprint 1",spec,,Sprint 1
Elaborar gramática livre de contexto preliminar (BNF/EBNF),"Escrever a primeira versão da gramática formal do MiniC (ainda em papel/markdown, não em `.y`), cobrindo declarações, expressões, comandos e funções.

Responsável sugerido: Integrante 4
Sprint: Sprint 1",spec,,Sprint 1
Criar programas MiniC de referência,"Escrever manualmente (em `.c`) os programas fatorial, Fibonacci e MDC, que servirão como demonstração e validação manual do interpretador nas próximas sprints, garantindo que compilam no GCC padrão.

Responsável sugerido: Integrante 5
Sprint: Sprint 1",spec,,Sprint 1
Lexer: tokens de palavras-chave e tipos,"Implementar em `lexer.l` o reconhecimento de `int`, `float`, `char`, `if`, `else`, `while`, `for`, `return`.

Responsável sugerido: Integrante 2
Sprint: Sprint 2",lexer,,Sprint 2
"Lexer: identificadores, números e literais","Implementar reconhecimento de identificadores, literais inteiros, literais float, literais char e string.

Responsável sugerido: Integrante 3
Sprint: Sprint 2",lexer,,Sprint 2
Lexer: operadores e pontuação,"Implementar reconhecimento de operadores aritméticos, relacionais, lógicos, atribuição e símbolos (`; , ( ) { }`).

Responsável sugerido: Integrante 2
Sprint: Sprint 2",lexer,,Sprint 2
Lexer: espaços em branco e comentários,"Implementar ignorar espaços/tabs/quebras de linha e tratar comentários `//` e `/* */` (inclusive multilinha).

Responsável sugerido: Integrante 4
Sprint: Sprint 2",lexer,,Sprint 2
Parser: esqueleto com declaração de tokens,"Criar `parser.y` inicial com `%token` para todos os tokens do lexer e definir precedência/associatividade dos operadores.

Responsável sugerido: Integrante 1
Sprint: Sprint 2",parser,,Sprint 2
Parser: declarações de variáveis,"Implementar regras gramaticais para declaração de variável com inicialização opcional (`int x = 10;`).

Responsável sugerido: Integrante 4
Sprint: Sprint 2",parser,,Sprint 2
Parser: expressões,"Implementar regras gramaticais para expressões aritméticas, relacionais e lógicas, respeitando precedência.

Responsável sugerido: Integrante 3
Sprint: Sprint 2",parser,,Sprint 2
Parser: if/if-else e while (sem AST),"Implementar regras gramaticais para `if`, `if-else` e `while`, apenas validando sintaxe (ainda sem construir AST).

Responsável sugerido: Integrante 5
Sprint: Sprint 2",parser,,Sprint 2
Validar manualmente o fluxo léxico-sintático,"Rodar os programas de referência (fatorial, Fibonacci simplificados) contra o lexer e o parser, conferindo que a sintaxe é aceita sem erros.

Responsável sugerido: Integrante 1
Sprint: Sprint 2",parser,,Sprint 2
Preparar apresentação e formulário do P1,"Montar slides mostrando tokens reconhecidos e regras sintáticas iniciais; preencher e enviar o formulário oficial de P1 (somente o líder envia).

Responsável sugerido: Integrante 1
Sprint: Sprint 2",docs;P1,,Sprint 2
Definir estrutura de dados da AST,"Criar `ast.h` com os tipos de nó (expressão, declaração, comando, bloco, função) e seus campos.

Responsável sugerido: Integrante 3
Sprint: Sprint 3",ast,,Sprint 3
Implementar funções de construção da AST,"Implementar em `ast.c` as funções `criar_no_*()` para cada tipo de nó definido em `ast.h`.

Responsável sugerido: Integrante 3
Sprint: Sprint 3",ast,,Sprint 3
Integrar construção de AST às expressões no parser,"Modificar as ações semânticas de `parser.y` para que regras de expressão retornem nós de AST em vez de apenas validar sintaxe.

Responsável sugerido: Integrante 4
Sprint: Sprint 3",ast,,Sprint 3
Integrar construção de AST aos comandos no parser,"Modificar as ações semânticas para `if/while/for/bloco/declaração` construírem os nós de AST correspondentes.

Responsável sugerido: Integrante 5
Sprint: Sprint 3",ast,,Sprint 3
Implementar tabela de símbolos com escopos aninhados,"Criar `tabela.c`/`tabela.h` com inserção, busca e encadeamento de escopos (bloco → função → global).

Responsável sugerido: Integrante 2
Sprint: Sprint 3",symtab,,Sprint 3
Integrar tabela de símbolos às declarações do parser,"Conectar a inserção de variáveis declaradas na tabela de símbolos durante o parsing.

Responsável sugerido: Integrante 2
Sprint: Sprint 3",symtab,,Sprint 3
Melhorar mensagens de erro sintático,"Implementar mensagens de erro com número da linha e token esperado/encontrado (usando `yyerror` customizado).

Responsável sugerido: Integrante 1
Sprint: Sprint 3",parser,,Sprint 3
Criar função de impressão da AST (debug),"Implementar uma função que imprime a AST de forma legível (indentada), para depuração manual da equipe e demonstração na apresentação.

Responsável sugerido: Integrante 5
Sprint: Sprint 3",ast,,Sprint 3
Validar manualmente programas corretos e com erro sintático,"Rodar o parser contra programas de referência corretos e contra variações propositalmente quebradas, conferindo se as mensagens de erro fazem sentido.

Responsável sugerido: Integrante 4
Sprint: Sprint 3",parser,,Sprint 3
